nameLast,HR,BB,SO
Aaron,755,1402,1383
Banks,512,763,1236
Bonds,762,2558,1539
Foxx,534,1452,1311
Griffey,630,1312,1779
Jackson,563,1375,2597
Killebrew,573,1559,1699
Mantle,536,1733,1710
Mathews,512,1444,1487
Mays,660,1464,1526
McCovey,521,1345,1550
McGwire,583,1317,1596
Murray,504,1333,1516
Ortiz,541,1319,1750
Ott,511,1708,896
Palmeiro,569,1353,1348
Pujols,591,1214,1053
Ramirez,555,1329,1813
Robinson,586,1420,1532
Rodriguez,696,1338,2287
Ruth,714,2062,1330
Schmidt,548,1507,1883
Sheffield,509,1475,1171
Sosa,609,929,2306
Thomas,521,1667,1397
Thome,612,1747,2548
Williams,521,2021,709
